AIR Number,Response Date,Institution,Description,Documents
26-173-01air,8/14/2026,"KAGOME Co., LTD.",Genome Edited Tomato for Enhanced Abiotic Stress Tolerance,"<a href=""/sites/default/files/26-173-01air-cbidel.pdf"" target=""_blank"">Incoming</a><br><a href=""/sites/default/files/26-173-01air-response.pdf"" target=""_blank"">Response</a>"
26-180-01air,8/13/2026,Living Carbon PBC,Genome Edited Grey Poplar for Increased Biomass Accumulation,"<a href=""/sites/default/files/26-180-01air-cbidel.pdf"" target=""_blank"">Incoming</a><br><a href=""/sites/default/files/26-180-01air-response.pdf"" target=""_blank"">Response</a>"
26-124-01air,8/13/2026,University of Missouri,Genome Edited Soybean for Altered Seed Composition,"<a href=""/sites/default/files/26-124-01air-cbidel-a2.pdf"" target=""_blank"">Incoming</a><br><a href=""/sites/default/files/26-124-01air-response.pdf"" target=""_blank"">Response</a>"
26-212-01air,8/4/2026,Ginkgo Bioworks Inc.,Modified Microbes for Increased Nitrogen Fixation,"<a href=""/sites/default/files/26-212-01air-cbidel-a1.pdf"" target=""_blank"">Incoming</a><br><a href=""/sites/default/files/26-212-01air-response-cbidel.pdf"" target=""_blank"">Response</a>"
25-178-01air,7/3/2025,Bayer Crop Science,Genome Edited Soybean,"<a href=""/sites/default/files/25-178-01air-response.pdf"" target=""_blank"">Response</a>"
26-999-01air,1/1/2026,Jane Q Public,People row,"<a href=""/sites/default/files/26-999-01air-response.pdf"" target=""_blank"">Response</a>"
26-197-01air,8/3/2026,Texas Woman’s University,Incoming only,"<a href=""/sites/default/files/26-197-01air.pdf"" target=""_blank"">Incoming</a>"
26-159-03air,6/25/2026,"Decibel Bio, Inc.",Not 01air,"<a href=""/sites/default/files/26-159-03air-response.pdf"" target=""_blank"">Response</a>"
26-098-01air,6/24/2026,USDA-ARS,Mismatched PDF docket,"<a href=""/sites/default/files/26-159-03air-response.pdf"" target=""_blank"">Response</a>"
24-227-01cr,9/27/2024,Phytoform Labs Ltd.,Confirmation-letters 01cr teaser,"<a href=""/sites/default/files/24-227-01cr-response.pdf"" target=""_blank"">Response</a>"
